頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
 167 ,TW0006787005,6787,晶瑞光,興櫃 ,股票,光電業,2021/04/16,ESVUFR,
 168 ,TW0006793003,6793,天力離岸,興櫃 ,股票,其他業,2020/10/30,ESVUFR,
 169 ,TW0006797004,6797,圓點奈米,興櫃 ,股票,生技醫療業,2020/11/05,ESVUFR,
 170 ,TW0006798002,6798,展逸,興櫃 ,股票,運動休閒,2023/04/27,ESVUFR,
 171 ,TW0006808009,6808,三鼎生技,興櫃 ,股票,生技醫療業,2020/12/25,ESVUFR,
 172 ,TW0006810005,6810,新穎生醫,興櫃 ,股票,生技醫療業,2021/08/30,ESVUFR,
 173 ,TW0006812001,6812,梭特,興櫃 ,股票,光電業,2021/02/04,ESVUFR,
 174 ,TW0006814007,6814,路迦生醫,興櫃 ,股票,生技醫療業,2020/12/31,ESVUFR,
 175 ,TW0006815004,6815,晶鑽生醫,興櫃 ,股票,生技醫療業,2021/01/29,ESVUFR,
 176 ,TW0006816002,6816,捷智商訊,興櫃 ,股票,資訊服務業,2021/01/18,ESVUFR,
 177 ,TW0006817000,6817,溫士頓,興櫃 ,股票,生技醫療業,2021/02/24,ESVUFR,
 178 ,TW0006818008,6818,連騰,興櫃 ,股票,通信網路業,2021/01/21,ESVUFR,
 179 ,TW0006819006,6819,眾智,興櫃 ,股票,半導體業,2021/02/05,ESVUFR,
 180 ,TW0006820004,6820,連訊,興櫃 ,股票,通信網路業,2021/03/22,ESVUFR,
 181 ,TW0006825003,6825,和暢科技,興櫃 ,股票,電腦及週邊設備業,2021/04/29,ESVUFR,
 182 ,TW0006826001,6826,和淞,興櫃 ,股票,其他電子業,2021/06/17,ESVUFR,
 183 ,TW0006827009,6827,巨生醫,興櫃 ,股票,生技醫療業,2021/10/19,ESVUFR,
 184 ,TW0006831001,6831,邁科,興櫃 ,股票,電腦及週邊設備業,2021/08/11,ESVUFR,
 185 ,TW0006832009,6832,金鼎科,興櫃 ,股票,其他業,2021/09/29,ESVUFR,
 186 ,TW0006833007,6833,太康精密,興櫃 ,股票,電子零組件業,2021/06/01,ESVUFR,
 187 ,TW0006838006,6838,台新藥,興櫃 ,股票,生技醫療業,2021/10/07,ESVUFR,
 188 ,TW0006839004,6839,開陽能源,興櫃 ,股票,綠能環保,2021/10/25,ESVUFR,
 189 ,TW0006842008,6842,一元素,興櫃 ,股票,半導體業,2021/09/30,ESVUFR,
 190 ,TW0006847007,6847,普瑞博,興櫃 ,股票,生技醫療業,2021/11/05,ESVUFR,
 191 ,TW0006848005,6848,拉法醫,興櫃 ,股票,生技醫療業,2021/10/25,ESVUFR,
 192 ,TW0006850001,6850,光鼎生技,興櫃 ,股票,生技醫療業,2021/11/10,ESVUFR,
 193 ,TW0006857006,6857,宏碁智醫,興櫃 ,股票,生技醫療業,2022/03/03,ESVUFR,
 194 ,TW0006858004,6858,愛比科技,興櫃 ,股票,電腦及週邊設備業,2022/01/11,ESVUFR,
 195 ,TW0006864002,6864,元樟生技,興櫃 ,股票,生技醫療業,2021/12/29,ESVUFR,
 196 ,TW0006867005,6867,坦德科技,興櫃 ,股票,光電業,2022/06/23,ESVUFR,
 197 ,TW0006868003,6868,采威國際,興櫃 ,股票,資訊服務業,2022/01/13,ESVUFR,
 198 ,TW0006872005,6872,浩宇生醫,興櫃 ,股票,生技醫療業,2022/06/22,ESVUFR,
 199 ,TW0006876006,6876,朗齊生醫*,興櫃 ,股票,生技醫療業,2024/01/18,ESVUFR,
 200 ,TW0006878002,6878,歐付寶,興櫃 ,股票,金融保險業,2022/03/17,ESVUFR,
 201 ,TW0006879000,6879,大江基因,興櫃 ,股票,生技醫療業,2022/05/25,ESVUFR,
 202 ,TW0006882004,6882,甲尚,興櫃 ,股票,資訊服務業,2022/04/26,ESVUFR,
 203 ,TW0006884000,6884,海柏特,興櫃 ,股票,資訊服務業,2022/06/13,ESVUFR,
 204 ,TW0006885007,6885,全福生技,興櫃 ,股票,生技醫療業,2022/06/23,ESVUFR,
 205 ,TW0006886005,6886,遠東生技,興櫃 ,股票,食品工業,2023/04/27,ESVUFR,
 206 ,TW0006891005,6891,樂迦再生,興櫃 ,股票,生技醫療業,2022/07/12,ESVUFR,
 207 ,TW0006892003,6892,台寶生醫,興櫃 ,股票,生技醫療業,2022/09/07,ESVUFR,
 208 ,TW0006898000,6898,程曦資訊,興櫃 ,股票,資訊服務業,2022/09/30,ESVUFR,
 209 ,TW0006908007,6908,宏碁遊戲,興櫃 ,股票,電子通路業,2022/09/13,ESVUFR,
 210 ,TW0006909005,6909,創控,興櫃 ,股票,半導體業,2023/03/30,ESVUFR,
 211 ,TW0006910003,6910,德鴻,興櫃 ,股票,數位雲端,2023/05/19,ESVUFR,
 212 ,TW0006911001,6911,群運,興櫃 ,股票,其他業,2022/10/20,ESVUFR,
 213 ,TW0006912009,6912,益鈞環科*,興櫃 ,股票,綠能環保,2022/10/19,ESVUFR,
 214 ,TW0006913007,6913,鴻呈,興櫃 ,股票,電子零組件業,2022/12/26,ESVUFR,
 215 ,TW0006915002,6915,美強光,興櫃 ,股票,電子零組件業,2022/11/03,ESVUFR,
 216 ,TW0006917008,6917,竟天,興櫃 ,股票,生技醫療業,2023/01/12,ESVUFR,
 217 ,TW0006918006,6918,愛派司,興櫃 ,股票,生技醫療業,2023/01/06,ESVUFR,
 218 ,TW0006919004,6919,康霈*,興櫃 ,股票,生技醫療業,2022/12/26,ESVUFR,
 219 ,TW0006920002,6920,恆勁科技,興櫃 ,股票,半導體業,2023/01/10,ESVUFR,
 220 ,TW0006923006,6923,中台,興櫃 ,股票,綠能環保,2023/03/30,ESVUFR,
 221 ,TW0006925001,6925,意藍,興櫃 ,股票,數位雲端,2022/12/26,ESVUFR,
 222 ,TW0006926009,6926,聖安生醫,興櫃 ,股票,生技醫療業,2022/11/25,ESVUFR,
