頁面編號,國際證券編碼,有價證券代號,有價證券名稱,市場別,有價證券別,產業別,公開發行/上市(櫃)/發行日,CFICode,備註
 141 ,TW0001727105,17271,中華化一,上櫃 ,轉換公司債,,2022/10/03,DCZUDR,
 142 ,TW0001742005,1742,台蠟,上櫃 ,股票,化學工業,2004/05/14,ESVUFR,
 143 ,TW0001777001,1777,生泰,上櫃 ,股票,生技醫療業,2005/10/19,ESVUFR,
 144 ,TW0001781003,1781,合世,上櫃 ,股票,生技醫療業,2004/12/24,ESVUFR,
 145 ,TW0001784007,1784,訊聯,上櫃 ,股票,生技醫療業,2007/07/26,ESVUFR,
 146 ,TW0001785004,1785,光洋科,上櫃 ,股票,其他電子業,2005/01/31,ESVUFR,
 147 ,TW0001786200,17862,科妍二,上櫃 ,轉換公司債,,2022/10/03,DCZUGR,
 148 ,TW0001788008,1788,杏昌,上櫃 ,股票,生技醫療業,2009/07/20,ESVUFR,
 149 ,TW0001796001,1796,金穎生技,上櫃 ,股票,食品工業,2018/01/22,ESVUFR,
 150 ,TW0001799005,1799,易威,上櫃 ,股票,生技醫療業,2008/11/10,ESVUFR,
 151 ,TW0001805109,18051,寶徠一,上櫃 ,轉換公司債,,2021/09/24,DCZSGR,
 152 ,TW0001813004,1813,寶利徠,上櫃 ,股票,生技醫療業,2009/08/04,ESVUFR,
 153 ,TW0001815009,1815,富喬,上櫃 ,股票,電子零組件業,2006/01/23,ESVUFR,
 154 ,TW0001815603,18156,富喬六,上櫃 ,轉換公司債,,2021/03/16,DCZUDR,
 155 ,TW0001909406,19094,榮成四,上櫃 ,轉換公司債,,2021/12/20,DCZUDR,
 156 ,TW0002012101,20121,春雨一,上櫃 ,轉換公司債,,2022/03/25,DCZSGR,
 157 ,TW0002012200,20122,春雨二,上櫃 ,轉換公司債,,2022/03/25,DCZSGR,
 158 ,TW0002012309,20123,春雨三,上櫃 ,轉換公司債,,2022/03/25,DCZSGR,
 159 ,TW0002034303,20343,允強三,上櫃 ,轉換公司債,,2020/12/15,DCZUDR,
 160 ,TW0002035003,2035,唐榮,上櫃 ,股票,鋼鐵工業,2006/07/07,ESVUFR,
 161 ,TW0002061009,2061,風青,上櫃 ,股票,電器電纜,2010/12/09,ESVUFR,
 162 ,TW0002061207,20612,風青二,上櫃 ,轉換公司債,,2022/01/12,DCZSDR,
 163 ,TW0002063005,2063,世鎧,上櫃 ,股票,鋼鐵工業,2010/09/07,ESVUFR,
 164 ,TW0002063203,20632,世鎧二,上櫃 ,轉換公司債,,2023/11/10,DCZUDR,
 165 ,TW0002064003,2064,晉椿,上櫃 ,股票,鋼鐵工業,2014/12/26,ESVUFR,
 166 ,TW0002065000,2065,世豐,上櫃 ,股票,鋼鐵工業,2017/04/21,ESVUFR,
 167 ,TW0002065208,20652,世豐二,上櫃 ,轉換公司債,,2022/03/22,DCZUDR,
 168 ,TW0002066008,2066,世德,上櫃 ,股票,電機機械,2013/09/24,ESVUFR,
 169 ,TW0002066107,20661,世德一,上櫃 ,轉換公司債,,2021/12/08,DCZUGR,
 170 ,TW0002066206,20662,世德二,上櫃 ,轉換公司債,,2023/07/31,DCZUGR,
 171 ,TW0002067006,2067,嘉鋼,上櫃 ,股票,電機機械,2014/05/26,ESVUFR,
 172 ,TW0002069408,20694,運錩四,上櫃 ,轉換公司債,,2021/11/25,DCZUDR,
 173 ,TW0002070000,2070,精湛,上櫃 ,股票,電機機械,2018/12/17,ESVUFR,
 174 ,TW0002073004,2073,雄順,上櫃 ,股票,鋼鐵工業,2023/06/21,ESVUFR,
 175 ,TW0002104304,21043,國際中橡三,上櫃 ,轉換公司債,,2023/10/13,DCZUDR,
 176 ,TW0002201308,22013,裕隆三,上櫃 ,轉換公司債,,2023/05/25,DCZUDR,
 177 ,TW0002208105,22081,台船一,上櫃 ,轉換公司債,,2020/02/24,DCZSDR,
 178 ,TW0002221009,2221,大甲,上櫃 ,股票,其他業,2007/08/01,ESVUFR,
 179 ,TW0002230000,2230,泰茂,上櫃 ,股票,電機機械,2013/04/18,ESVUFR,
 180 ,TW0002230406,22304,泰茂四,上櫃 ,轉換公司債,,2023/01/06,DCZSGR,
 181 ,TW0002231305,22313,為升三,上櫃 ,轉換公司債,,2022/08/29,DCZUGR,
 182 ,TW0002235009,2235,謚源,上櫃 ,股票,電機機械,2014/12/15,ESVUFR,
 183 ,TW0002236205,22362,百達二KY,上櫃 ,轉換公司債,,2023/08/18,DCZUGR,
 184 ,TW0002239308,22393,英利三KY,上櫃 ,轉換公司債,,2021/10/19,DCZUGR,
 185 ,TW0002250107,22501,IKKA一KY,上櫃 ,轉換公司債,,2024/03/04,DCZUDR,
 186 ,TW0002338308,23383,光罩三,上櫃 ,轉換公司債,,2021/08/03,DCZUDR,
 187 ,TW0002358108,23581,廷鑫一,上櫃 ,轉換公司債,,2022/09/28,DCZSGR,
 188 ,TW0002368206,23682,金像電二,上櫃 ,轉換公司債,,2023/12/05,DCZUDR,
 189 ,TW0002383502,23835,台光電五,上櫃 ,轉換公司債,,2022/04/25,DCZUDR,
 190 ,TW0002421302,24213,建準三,上櫃 ,轉換公司債,,2023/05/24,DCZUDR,
 191 ,TW0002427101,24271,三商電一,上櫃 ,轉換公司債,,2023/12/13,DCZUDR,
 192 ,TW0002436102,24361,偉詮電一,上櫃 ,轉換公司債,,2023/09/11,DCZUDR,
 193 ,TW0002439304,24393,美律三,上櫃 ,轉換公司債,,2021/08/11,DCZUGR,
 194 ,TW0002456605,24566,奇力新六,上櫃 ,轉換公司債,,2019/09/12,DCZUDR,
 195 ,TW0002461605,24616,光群雷六,上櫃 ,轉換公司債,,2021/03/24,DCZSDR,
 196 ,TW0002462405,24624,良得電四,上櫃 ,轉換公司債,,2023/08/11,DCZUDR,
 197 ,TW0002476207,24762,鉅祥二,上櫃 ,轉換公司債,,2024/01/26,DCZUGR,
 198 ,TW0002486602,24866,一詮六,上櫃 ,轉換公司債,,2024/07/01,DCZUDR,
 199 ,TW0002497203,24972,怡利電二,上櫃 ,轉換公司債,,2022/07/07,DCZSGR,
 200 ,TW0002528205,25282,皇普二,上櫃 ,轉換公司債,,2019/09/25,DCZSGR,
 201 ,TW0002596004,2596,綠意,上櫃 ,股票,建材營造業,2009/06/01,ESVUFR,
 202 ,TW0002603404,26034,長榮四,上櫃 ,轉換公司債,,2021/05/18,DCZUDR,
 203 ,TW0002610706,26107,華航七,上櫃 ,轉換公司債,,2021/04/28,DCZUDR,
 204 ,TW0002640000,2640,大車隊,上櫃 ,股票,數位雲端,2012/11/07,ESVUFR,
 205 ,TW0002641008,2641,正德,上櫃 ,股票,航運業,2014/10/09,ESVUFR,
 206 ,TW0002641503,26415,正德五,上櫃 ,轉換公司債,,2022/07/28,DCZUGR,
 207 ,TW0002641602,26416,正德六,上櫃 ,轉換公司債,,2023/08/23,DCZUDR,
 208 ,TW0002643004,2643,捷迅,上櫃 ,股票,航運業,2016/03/04,ESVUFR,
 209 ,TW0002718004,2718,晶悅,上櫃 ,股票,建材營造業,2011/03/29,ESVUFR,
 210 ,TW0002719002,2719,燦星旅,上櫃 ,股票,觀光餐旅,2012/02/24,ESVUFR,
 211 ,KYG3704Y1017,2724,藝舍-KY,上櫃 ,股票,觀光餐旅,2012/05/29,ESVUFR,
 212 ,KYG988361021,2726,雅茗-KY,上櫃 ,股票,觀光餐旅,2014/12/24,ESVUFR,
 213 ,TW0002727104,27271,王品一,上櫃 ,轉換公司債,,2023/03/29,DCZUDR,
